Username,Verified,Comment Text,Likes,Time,Replies,Translation,Offensive?
exotic_somrat,FALSE,🤩,4,4d,0,FALSE,FALSE
saikatluv.0,FALSE,"Not married yet? I already said congratulations! Anyway, take it in advance!",5,4d,0,FALSE,FALSE
loser_failure1,FALSE,Bro hoise r ki lukaba biye koirai falao ki ar ase jibone,52,4d,0,TRUE,FALSE
akash_17b,FALSE,Matching Matching 🎀,5,4d,0,FALSE,FALSE
shahriar_sadi09,FALSE,Our thoughts….....  more,62,4d,0,FALSE,FALSE
damian_x408,FALSE,Congratulations 👏🤧,3,4d,0,FALSE,FALSE
taashnuvaa,FALSE,"Omg just get married, enough of these",1,3d,0,FALSE,FALSE
aadi_aat,FALSE,"Mashallah, then we can say Friends thek, husband - wife.",674,4d,0,FALSE,FALSE
shawon_on_max,FALSE,Vai abar biya ta korean. Ar koto din single thakben 😂,11,4d,0,TRUE,FALSE
zayba_mysarah,FALSE,I thought they got married or engaged 😭🙏🏻,38,4d,0,FALSE,FALSE
nigga.retailer,FALSE,Bhabsilam biye korso💔🥀,2,4d,0,TRUE,FALSE
__tish.aa_,FALSE,I thought “engagement done”😂💍,82,4d,0,FALSE,FALSE
nazu__1710,FALSE,i thought y'all got married i almost jumped-,67,4d,0,FALSE,FALSE
zerox._.ayan,FALSE,Reveal it rafsan 😍,2,4d,0,FALSE,FALSE
nyctophileom,FALSE,"Bro literally said ""looking upto me literally""",2,4d,0,FALSE,FALSE
your_raiyan,FALSE,Kobe jani shuni tomra biye kore felso 👀,1,1d,0,TRUE,FALSE
txwsiff,FALSE,bhai biye when?,12,4d,0,FALSE,FALSE
sparkling.ribbons,FALSE,i was like FINALLLYYY THEY ARE ENGAGED and then ohhhh 🙂,2,3d,0,FALSE,FALSE
alifa.prolly.has.hawtism,FALSE,BIYER POST VABSI HELP,0,4d,0,FALSE,FALSE
call_me_jisan_69,FALSE,You two should get married out of this joy,2,4d,0,FALSE,FALSE
_shanevr_,FALSE,Congrats,5,4d,0,FALSE,FALSE
yours_.meem,FALSE,I literally thought they got engaged 😭,2,4d,0,FALSE,FALSE
rod.tales._,FALSE,Biyer post bhaba nishpap amr mon 🥰🙏🏻,36,4d,0,TRUE,FALSE
memes_of_bangladesh,FALSE,"From ""yayyyy"" to ohh- marriage post na?",227,4d,0,FALSE,FALSE
zerin_ahmeed,FALSE,ভাইয়া বিয়ে করে নাও😩😩,2,4d,0,TRUE,FALSE
_z_a_m_afnan_,FALSE,Pinki duo🙌🏻,1,4d,0,FALSE,FALSE
_toky_onthe_flow_,FALSE,Nice couple!❤️,0,1d,0,FALSE,FALSE
atikbhaiii,TRUE,Verified  First vapchi mone hoi married post 😂,643,4d,0,FALSE,FALSE
ayanxsu,FALSE,Bro looks so tired 🥀🥀,11,4d,0,FALSE,FALSE
iamenuvai,FALSE,Bhai ami bhabsilam biyar picture,2,4d,0,TRUE,FALSE
tmr_ex_boyfriend,FALSE,Biyer post mone korsilam 😭,48,4d,0,TRUE,FALSE
_sojibba_12_,TRUE,Verified  Lol Ami vabsi Rafsan vaiya biye kore felse but vaiya manaisee apanader😗,2,4d,0,TRUE,FALSE
myself_rahi98,FALSE,"Bro onk hoise, ekhon ektu seriously nao! 😎",0,3d,0,TRUE,FALSE
julf4._,FALSE,Marry her omg,1,4d,0,FALSE,FALSE
_sojibba_12_,TRUE,Verified  btw marketing kori Karo Blue verified lagle inbox✅,1,4d,0,TRUE,FALSE
nafisgotnochill,FALSE,ALMOST THOUGHT YALL MARRIED,6,4d,0,FALSE,FALSE
_mashfiqqq._,FALSE,Bro is indirectly showing us his wife and pretending like she is his friend💀,7,4d,0,FALSE,FALSE
jfsimba_,FALSE,bhabsilam propose korse,3,4d,0,TRUE,FALSE
izjessika,FALSE,How sweet this picture brooo❤️🥰,2,4d,0,FALSE,FALSE
zayn_tohid,FALSE,😍🙌🏻,2,4d,0,FALSE,FALSE
_its_about_rose_,FALSE,😂,2,4d,0,FALSE,FALSE
safwan_islam_johan,FALSE,Accah,1,4d,0,FALSE,FALSE
sk_sabbir_49,FALSE,Congratulations @t.sunehra 👏,3,4d,0,FALSE,FALSE
suhaa_sdead,FALSE,Ekhon shudhu official howata……🤯,2,4d,0,TRUE,FALSE
sahiamun_0w0,FALSE,bhai vhabsi bhaiya propose koira felse,2,4d,0,TRUE,FALSE
62176rony,FALSE,❤️❤️,2,4d,0,FALSE,FALSE
afsa__b_a,FALSE,okay so biye kobe?,2,4d,0,FALSE,FALSE
naive__t07,FALSE,Matching matching🔥,2,4d,0,FALSE,FALSE
kiretasin,FALSE,Don't steal her 🙂,2,4d,0,FALSE,FALSE
shadyyyyb0ss,FALSE,Bhai tor paye dhori biyar post ta diye fel,2,2d,0,TRUE,FALSE
cant_find_this_boy,FALSE,Duitai cuter dibba ❤️,2,4d,0,TRUE,FALSE
ariful4657,FALSE,Husband & Wife ❤️,5,4d,0,FALSE,FALSE
sajidifty_,FALSE,get married already bro. keep it halal ;),2,4d,0,FALSE,FALSE
never_my_nd,FALSE,Marriage post vabsilm...,1,4d,0,FALSE,FALSE
surjo_exe_,FALSE,Made for each other👀❤️,3,2d,0,FALSE,FALSE
yourssrishaah._,FALSE,Matchy matchyy🙊,2,4d,0,FALSE,FALSE
wang_lih_,FALSE,Hahaha our future married couples 😹,2,4d,0,FALSE,FALSE
mahfujur671,FALSE,I thought this post about your marriage announcement 😭,7,4d,0,FALSE,FALSE
yin0ra,FALSE,Erokom chobi recreate korar' moto bestfriend nai😞💔,4,4d,0,TRUE,FALSE
