,Comment Text,Likes,Replies,Translation,Offensive?
0,🤩,4,0,False,False
1,"Not married yet? I already said congratulations! Anyway, take it in advance!",5,0,False,False
2,Bro hoise r ki lukaba biye koirai falao ki ar ase jibone,52,0,True,False
3,Matching Matching 🎀,5,0,False,False
4,Our thoughts….....  more,62,0,False,False
5,Congratulations 👏🤧,3,0,False,False
6,"Omg just get married, enough of these",1,0,False,False
7,"Mashallah, then we can say Friends thek, husband - wife.",674,0,False,False
8,Vai abar biya ta korean. Ar koto din single thakben 😂,11,0,True,False
9,I thought they got married or engaged 😭🙏🏻,38,0,False,False
10,Bhabsilam biye korso💔🥀,2,0,True,False
11,I thought “engagement done”😂💍,82,0,False,False
12,i thought y'all got married i almost jumped-,67,0,False,False
13,Reveal it rafsan 😍,2,0,False,False
14,"Bro literally said ""looking upto me literally""",2,0,False,False
15,Kobe jani shuni tomra biye kore felso 👀,1,0,True,False
16,bhai biye when?,12,0,False,False
17,i was like FINALLLYYY THEY ARE ENGAGED and then ohhhh 🙂,2,0,False,False
18,BIYER POST VABSI HELP,0,0,False,False
19,You two should get married out of this joy,2,0,False,False
20,Congrats,5,0,False,False
21,I literally thought they got engaged 😭,2,0,False,False
22,Biyer post bhaba nishpap amr mon 🥰🙏🏻,36,0,True,False
23,"From ""yayyyy"" to ohh- marriage post na?",227,0,False,False
24,ভাইয়া বিয়ে করে নাও😩😩,2,0,True,False
25,Pinki duo🙌🏻,1,0,False,False
26,Nice couple!❤️,0,0,False,False
27,Verified  First vapchi mone hoi married post 😂,643,0,False,False
28,Bro looks so tired 🥀🥀,11,0,False,False
29,Bhai ami bhabsilam biyar picture,2,0,True,False
30,Biyer post mone korsilam 😭,48,0,True,False
31,Verified  Lol Ami vabsi Rafsan vaiya biye kore felse but vaiya manaisee apanader😗,2,0,True,False
32,"Bro onk hoise, ekhon ektu seriously nao! 😎",0,0,True,False
33,Marry her omg,1,0,False,False
34,Verified  btw marketing kori Karo Blue verified lagle inbox✅,1,0,True,False
35,ALMOST THOUGHT YALL MARRIED,6,0,False,False
36,Bro is indirectly showing us his wife and pretending like she is his friend💀,7,0,False,False
37,bhabsilam propose korse,3,0,True,False
38,How sweet this picture brooo❤️🥰,2,0,False,False
39,😍🙌🏻,2,0,False,False
40,😂,2,0,False,False
41,Accah,1,0,False,False
42,Congratulations @t.sunehra 👏,3,0,False,False
43,Ekhon shudhu official howata……🤯,2,0,True,False
44,bhai vhabsi bhaiya propose koira felse,2,0,True,False
45,❤️❤️,2,0,False,False
46,okay so biye kobe?,2,0,False,False
47,Matching matching🔥,2,0,False,False
48,Don't steal her 🙂,2,0,False,False
49,Bhai tor paye dhori biyar post ta diye fel,2,0,True,False
50,Duitai cuter dibba ❤️,2,0,True,False
51,Husband & Wife ❤️,5,0,False,False
52,get married already bro. keep it halal ;),2,0,False,False
53,Marriage post vabsilm...,1,0,False,False
54,Made for each other👀❤️,3,0,False,False
55,Matchy matchyy🙊,2,0,False,False
56,Hahaha our future married couples 😹,2,0,False,False
57,I thought this post about your marriage announcement 😭,7,0,False,False
58,Erokom chobi recreate korar' moto bestfriend nai😞💔,4,0,True,False
59,I thought U guys are married 😭,15,0,False,False
60,Kiss already 😔😔😔💔💔💔🥀🥀🥀,1,0,False,False
61,WEDDING post comming soon😗🤯,1,0,False,False
62,BHAIYA BHABIIIIIIIII,8,0,False,False
63,Wow ❤️❤️❤️,5,0,False,False
64,Chobi dekhey monekorlam biye ta hoyei gelo,1,0,True,False
65,"Verified  কংগ্রাচুলেশনস জানানো লাগবেনা রাফসান ভাই, আমরা জানি এটা আমাদের ভাবি🤭😚",7,0,True,False
66,Vai dawat pailam naaa,2,0,True,False
67,Wtf is running in comment section guys?? Thousand people posted and still posting about her! Aboute her 1m in facebook !...  more,1,0,False,False
68,❤️,1,0,False,False
69,"bro stop playing around, just propose her already",4,0,False,False
70,Bro I thought you got married.... disappointing man💔,1,0,False,False
71,The feeling when you find out they aren't married yet💔💔💔💔,7,0,False,False
72,🙆‍♂️😒,2,0,False,False
73,Sonn biye dekte jacci...,3,0,True,False
74,"Mash Allah, bro!...  more",2,0,True,False
75,JUST GER MARRIED ALREADY PLEASE,4,0,False,False
76,"You guys are soulmates both of you are white, funny, cute personality 2jon ee compliments nite paro na😂🖤",2,0,False,False
77,Rafsan's wife,2,0,False,False
78,Vai biye kobe kortecen 😍,1,0,True,False
79,On of the best couple 🫶🏻,1,0,False,False
80,Amr frnd er shate pic tular echa emne 🙃🙃,1,0,True,False
81,Cute couples 💖,2,0,False,False
82,お似合いのカップル ...  more,1,0,True,False
83,Having someone like sunehra is truly blessing❤️,2,0,False,False
84,Ami vabsilam biye Hoye gese👀,2,0,True,False
85,Ma sha Allah ❤️😍❤️,1,0,False,False
86,Tomra biye kobe korba?,1,0,True,False
87,Biye When?,1,0,False,False
88,Chotobhai get married soon...🫣,1,0,False,False
89,"You better to be friend of her,Don't cross your limit. @t.sunehra is mine🥲🥲",1,0,False,False
90,Congratulations 🎉❤️,1,0,False,False
91,"Please @t.sunehra ,,, be our CHOTOBHABI 😌😌",1,0,False,False
92,Vaiya apu k vabi hisebe dekhte chai..🙌,1,0,True,False
93,https://t.me/+4--zUdj-VchhMmNl,1,0,False,False
94,Masha allah ❤️🥀,1,0,False,False
95,Just get married at this point,86,0,False,False
96,bhaia biye kore phalen ak sathe congratulation bolbo,4,0,True,False
97,🙂,1,0,False,False
98,Rafsan.... Looking good together!,1,0,False,False
99,"I thought y'all were getting married, I was so excited😭",70,0,False,False
100,❤️😍❤️,1,0,False,False
101,❤️,1,0,False,False
102,নাটক কম মারাও এবার হাতে আংটি পরাও 🙂,3,0,True,False
103,🔥🔥🔥,1,0,False,False
